CookerStat, GenerateAssetRegistry=0.038877, Initialize=0.201531, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_35, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1D6770F4414E4EE7A7BC04B6FE92A__55C4FBED0E5F1B75077A1FEFA95D3C3194B36365, StartTime=2016.04.14-12.46.07, HierarchicalDDC=, DataSize=8455, Duration=9.456463, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_36, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1D6770F4414E4EE7A7BC04B6FE92A__52D2AD1546179F9FB83AD28B519DFB5FC035EB78, StartTime=2016.04.14-12.46.07, HierarchicalDDC=, DataSize=4452, Duration=7.267289, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionIdA4FAA0E1485B542DFE65D0B8A9AD8756_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F951F95C491B5BBD4BEFFCB85319CC9B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.14-12.46.07, Duration=9208.341797, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_37, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F951F95C491B5BBD4BEFFCB85319C__2A97A219E4D0E884FD50CA2838117344E4CBF779, StartTime=2016.04.14-12.46.16, HierarchicalDDC=, DataSize=2097417, Duration=19.196257, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_38, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F951F95C491B5BBD4BEFFCB85319C__094D172FFE838A8DD1A88C7ABFBA3F4168DC1E20, StartTime=2016.04.14-12.46.16, HierarchicalDDC=, DataSize=524553, Duration=6.929230, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_39, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F951F95C491B5BBD4BEFFCB85319C__2395C6AE5DC42B43FFA52ABBBB2765AA7FD2FFE2, StartTime=2016.04.14-12.46.16, HierarchicalDDC=, DataSize=131335, Duration=7.763658, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_40, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F951F95C491B5BBD4BEFFCB85319C__D4BB839F95AD631BB4365768366A8C8F02C66B29, StartTime=2016.04.14-12.46.16, HierarchicalDDC=, DataSize=33031, Duration=7.963013, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_41, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F951F95C491B5BBD4BEFFCB85319C__686937EC2CAB7C4E3CFA158798399ECC632F9215, StartTime=2016.04.14-12.46.16, HierarchicalDDC=, DataSize=8455, Duration=6.117500, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_42, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F951F95C491B5BBD4BEFFCB85319C__C71CB3E4DBE9C812E2A10BC2A00D598A4F0FA32D, StartTime=2016.04.14-12.46.16, HierarchicalDDC=, DataSize=4749, Duration=10.588222, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionIdA4FAA0E1485B542DFE65D0B8A9AD8756_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE028A7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.14-12.46.16, Duration=92.453239, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
